domain,polarity_cat,polarity_cont,type
corriere.it,-,0,newspaper
avvenire.it,-,0,newspaper
ilcorrieredelgiorno.it,-,0,newspaper
ilmattino.it,-,0,newspaper
ilmessaggero.it,-,0,newspaper
ilsole24ore.com,-,0,newspaper
lastampa.it,-,0,newspaper
ilsecoloxix.it,-,0,newspaper
liberoquotidiano.it,right,0.5,newspaper
ilfoglio.it,right,0.5,newspaper
ilgiornale.it,right,0.5,newspaper
ilgiorno.it,right,0.5,newspaper
ilrestodelcarlino.it,right,0.5,newspaper
iltempo.it,right,0.5,newspaper
gazzettadelsud.it,right,0.5,newspaper
gsd.it,right,0.5,newspaper
ilgazzettino.it,right,0.5,newspaper
italiaoggi.it,right,0.5,newspaper
unionesarda.it,right,0.5,newspaper
lanazione.it,right,0.5,newspaper
lanuovapadania.it,right,1,newspaper
lasicilia.it,right,0.5,newspaper
panorama.it,-,0.5,newspaper
laverita.info,-,0.5,newspaper
secoloditalia.it,right,0.5,newspaper
gazzettadireggio.gelocal.it,Left,-0.5,newspaper
espresso.repubblica.it,-,-0.5,newspaper
ilcentro.it,Left,-0.5,newspaper
ilmanifesto.it,Left,-1,newspaper
repubblica.it,Left,-0.5,newspaper
ilfattoquotidiano.it,Left,-0.5,newspaper
mattinopadova.gelocal.it,Left,-0.5,newspaper
ilriformista.it,Left,-0.5,newspaper
ilpiccolo.gelocal.it,Left,-0.5,newspaper
iltirreno.gelocal.it,Left,-0.5,newspaper
lacittàdisalerno.it,Left,-0.5,newspaper
nuovavenezia.gelocal.it,Left,-0.5,newspaper
lanuovaferrara.gelocal.it,Left,-0.5,newspaper
lanuovasardegna.it,Left,-0.5,newspaper
laprovinciapavese.gelocal.it,Left,-0.5,newspaper
tribunatreviso.gelocal.it,Left,-0.5,newspaper
internazionale.it,-,-0.5,newspaper
liberta.it,Left,-0.5,newspaper
unita.news,Left,-0.5,newspaper
messaggeroveneto.gelocal.it,Left,-0.5,newspaper
gazzettadimodena.gelocal.it,Left,-0.5,newspaper
contropiano.org,Left,-1,newspaper
lacittafutura.it,Left,-1,newspaper
senzatregua.it,Left,-1,newspaper
legaonline.it,right,1,party
leganord.org,right,1,party
partitodemocratico.it,Left,-0.5,party
forza-italia.it,right,0.5,party
fratelli-italia.it,right,1,party
coraggioitalia.it,right,0.5,party
cambiamo.eu,right,0.5,party
articolo1mdp.it,Left,-0.5,party
azione.it,Left,-0.5,party
italiaviva.it,Left,-0.5,party
sinistraitaliana.si,Left,-0.5,party
verdi.it,Left,-0.5,party
greenitalia.org,Left,-0.5,party
partitosocialista.it,Left,-0.5,party
poterealpopolo.org,Left,-1,party
generazionifuture.org,Left,-0.5,party
patriaecostituzione.it,Left,-0.5,party
rinascimentosgarbi.it,right,0.5,party
movimentoidea.it,right,1,party
italiadeivalori.it,Left,-0.5,party
ilpartitocomunista.it,Left,-1,party
ilpartitocomunistaitaliano.it,Left,-1,party
autonomiaresponsabilefvg.it,right,0.5,party
lapugliainpiu.it,Left,-0.5,party
psdaz.net,right,0.5,party
democraziasolidale.it,Left,-0.5,party
popolariperlitalia.org,right,0.5,party
possibile.com,Left,-0.5,party
buonadestra.it,right,0.5,party
democrazia-atea.it,Left,-1,party
dem-a.it,Left,-0.5,party
forzanuova.eu,right,1,party
frontenazionale.net,right,1,party
ilpopolodellafamiglia.it,right,0.5,party
italiaincomune.it,Left,-0.5,party
italiareale.it,right,1,party
fascismoeliberta.info,right,1,party
partitodelsud.eu,Left,-0.5,party
partitodialternativacomunista.org,Left,-1,party
rifondazione.it,Left,-1,party
pmli.it,Left,-1,party
partitoumanista.it,Left,-1,party
riconquistarelitalia.it,right,1,party
anticapitalista.org,Left,-1,party
voltitalia.org,Left,-0.5,party
casapounditalia.org,right,1,party
europaverde.it,-,-0.5,party
ilcentrodemocratico.it,-,0,party
noiconlitalia.it,-,0,party
udc-italia.it,-,0,party
piueuropa.eu,-,0,party
insieme-per.it,-,0,party
partitopensionati.it,-,0,party
verdeepopolare.it,-,0,party
pierferdinandocasini.it,-,0,party
europeisti.org,-,0,party
miaemondiale.com,-,0,party
alleanzaliberaldemocratica.it,-,0,party
alternativapopolare.it,-,0,party
diecivoltemeglio.com,-,0,party
liberal-democratici.it,-,0,party
partitoliberale.it,-,0,party
ppa-pensieroazione.com,-,0,party
prinazionale.it,-,0,party
solidarieta-italia.eu,-,0,party
